Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Toby Gerhart*,Stanford,Pac-10,13,343,1871,5.5,28,143.9,11,157,14.3,0,12.1,354,2028,5.7,28,,toby-gerhart-1
2,Ryan Mathews*,Fresno State,WAC,12,276,1808,6.6,19,150.7,11,122,11.1,0,10.2,287,1930,6.7,19,,ryan-mathews-1
3,Dion Lewis*,Pitt,Big East,13,325,1799,5.5,17,138.4,25,189,7.6,1,14.5,350,1988,5.7,18,,dion-lewis-1
4,Mark Ingram*,Alabama,SEC,14,271,1658,6.1,17,118.4,32,334,10.4,3,23.9,303,1992,6.6,20,1,mark-ingram-1
5,Ryan Williams*,Virginia Tech,ACC,13,293,1655,5.6,21,127.3,16,180,11.3,1,13.8,309,1835,5.9,22,,ryan-williams-2
6,Donald Buckram,UTEP,CUSA,12,259,1594,6.2,18,132.8,30,453,15.1,3,37.8,289,2047,7.1,21,,donald-buckram-1
7,LaMichael James*,Oregon,Pac-10,13,230,1546,6.7,14,118.9,17,168,9.9,0,12.9,247,1714,6.9,14,,lamichael-james-1
8,John Clay*,Wisconsin,Big Ten,13,287,1517,5.3,18,116.7,9,61,6.8,0,4.7,296,1578,5.3,18,,john-clay-1
9,Noel Devine*,West Virginia,Big East,13,241,1465,6.1,13,112.7,22,177,8.0,1,13.6,263,1642,6.2,14,,noel-devine-1
10,Montel Harris*,Boston College,ACC,13,308,1457,4.7,14,112.1,8,69,8.6,1,5.3,316,1526,4.8,15,,montel-harris-1
11,Jacquizz Rodgers*,Oregon State,Pac-10,13,273,1440,5.3,21,110.8,78,522,6.7,1,40.2,351,1962,5.6,22,,jacquizz-rodgers-1
12,Joe Webb,UAB,CUSA,12,227,1427,6.3,11,118.9,2,12,6.0,1,1.0,229,1439,6.3,12,,joe-webb-2
13,Jonathan Dwyer*,Georgia Tech,ACC,14,235,1395,5.9,14,99.6,5,37,7.4,0,2.6,240,1432,6.0,14,,jonathan-dwyer-1
14,Alfred Morris,Florida Atlantic,Sun Belt,12,263,1392,5.3,11,116.0,7,114,16.3,2,9.5,270,1506,5.6,13,,alfred-morris-1
15,Anthony Dixon,Mississippi State,SEC,11,257,1391,5.4,12,126.5,18,123,6.8,0,11.2,275,1514,5.5,12,,anthony-dixon-1
16,Lance Dunbar,North Texas,Sun Belt,12,200,1378,6.9,17,114.8,28,300,10.7,2,25.0,228,1678,7.4,19,,lance-dunbar-1
17,Ben Tate*,Auburn,SEC,13,263,1362,5.2,10,104.8,20,105,5.3,0,8.1,283,1467,5.2,10,,ben-tate-1
18,Bernard Pierce*,Temple,MAC,12,236,1361,5.8,16,113.4,8,39,4.9,0,3.3,244,1400,5.7,16,,bernard-pierce-1
19,Montario Hardesty*,Tennessee,SEC,13,282,1345,4.8,13,103.5,25,302,12.1,1,23.2,307,1647,5.4,14,,montario-hardesty-1
20,Vai Taua*,Nevada,WAC,11,172,1345,7.8,10,122.3,12,99,8.3,2,9.0,184,1444,7.8,12,,vai-taua-1
