Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Rashaan Salaam,Colorado,Big 8,11,298,2055,6.9,24,186.8,24,294,12.3,0,26.7,322,2349,7.3,24,1,rashaan-salaam-1
2,Brian Pruitt,Central Michigan,MAC,11,292,1890,6.5,20,171.8,6,74,12.3,2,6.7,298,1964,6.6,22,,brian-pruitt-1
3,Lawrence Phillips,Nebraska,Big 8,12,286,1722,6.0,16,143.5,22,172,7.8,0,14.3,308,1894,6.1,16,,lawrence-phillips-1
4,Ki-Jana Carter,Penn State,Big Ten,11,198,1539,7.8,23,139.9,14,123,8.8,0,11.2,212,1662,7.8,23,,ki-jana-carter-1
5,Andre Davis,Texas Christian,SWC,11,260,1494,5.7,7,135.8,47,522,11.1,3,47.5,307,2016,6.6,10,,andre-davis-2
6,Alex Smith,Indiana,Big Ten,11,265,1475,5.6,10,134.1,17,115,6.8,0,10.5,282,1590,5.6,10,,alex-smith-5
7,Ryan Christopherson,Wyoming,WAC,12,300,1455,4.9,10,121.3,10,105,10.5,1,8.8,310,1560,5.0,11,,ryan-christopherson-1
8,Chris Darkins,Minnesota,Big Ten,11,277,1443,5.2,11,131.2,22,299,13.6,2,27.2,299,1742,5.8,13,,chris-darkins-1
9,Napoleon Kaufman,Washington,Pac-10,11,255,1390,5.5,9,126.4,24,199,8.3,0,18.1,279,1589,5.7,9,,napoleon-kaufman-1
10,Billy West,Pitt,Big East,11,252,1358,5.4,6,123.5,2,14,7.0,0,1.3,254,1372,5.4,6,,billy-west-1
11,Eddie George,Ohio State,Big Ten,12,261,1353,5.2,12,112.8,16,117,7.3,0,9.8,277,1470,5.3,12,,eddie-george-1
12,Sherman Williams,Alabama,SEC,12,291,1341,4.6,8,111.8,19,225,11.8,2,18.8,310,1566,5.1,10,,sherman-williams-2
13,Toraino Singleton,UTEP,WAC,11,289,1277,4.4,11,116.1,3,20,6.7,0,1.8,292,1297,4.4,11,,toraino-singleton-1
14,Stephen Davis,Auburn,SEC,11,221,1263,5.7,13,114.8,12,92,7.7,0,8.4,233,1355,5.8,13,,stephen-davis-1
15,Terrell Fletcher,Wisconsin,Big Ten,11,205,1235,6.0,10,112.3,22,172,7.8,1,15.6,227,1407,6.2,11,,terrell-fletcher-1
16,Stephen Whitfield,Eastern Michigan,MAC,11,284,1232,4.3,8,112.0,23,192,8.3,1,17.5,307,1424,4.6,9,,stephen-whitfield-1
17,Karim Abdul-Jabbar,UCLA,Pac-10,11,210,1227,5.8,4,111.5,18,118,6.6,0,10.7,228,1345,5.9,4,,karim-abdul-jabbar-1
18,Tony Nibbs,Ball State,MAC,11,221,1210,5.5,3,110.0,0,0,,0,0.0,221,1210,5.5,3,,tony-nibbs-1
19,Junior Smith,East Carolina,Ind,11,226,1204,5.3,9,109.5,35,306,8.7,1,27.8,261,1510,5.8,10,,junior-smith-1
20,Dennis Lundy,Northwestern,Big Ten,10,260,1189,4.6,8,118.9,11,114,10.4,0,11.4,271,1303,4.8,8,,dennis-lundy-1
