Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Jonathan Taylor*,Wisconsin,Big Ten,13,307,2194,7.1,16,168.8,8,60,7.5,0,4.6,315,2254,7.2,16,,jonathan-taylor-1
2,Darrell Henderson*,Memphis,American,13,214,1909,8.9,22,146.8,19,295,15.5,3,22.7,233,2204,9.5,25,,darrell-henderson-1
3,Trayveon Williams*,Texas A&M,SEC,13,271,1760,6.5,18,135.4,27,278,10.3,1,21.4,298,2038,6.8,19,,trayveon-williams-1
4,Travis Etienne*,Clemson,ACC,15,204,1658,8.1,24,110.5,12,78,6.5,2,5.2,216,1736,8.0,26,1,travis-etienne-1
5,Eno Benjamin*,Arizona State,Pac-12,13,300,1642,5.5,16,126.3,35,263,7.5,2,20.2,335,1905,5.7,18,,eno-benjamin-1
6,Benjamin Snell Jr.*,Kentucky,SEC,13,289,1449,5.0,16,111.5,17,105,6.2,0,8.1,306,1554,5.1,16,,benjamin-snell-jr-1
7,J.J. Taylor,Arizona,Pac-12,12,255,1434,5.6,6,119.5,16,133,8.3,0,11.1,271,1567,5.8,6,,jj-taylor-1
8,Alexander Mattison,Boise State,MWC,13,302,1415,4.7,17,108.8,27,173,6.4,0,13.3,329,1588,4.8,17,,alexander-mattison-1
9,Jermar Jefferson,Oregon State,Pac-12,12,239,1380,5.8,12,115.0,25,147,5.9,0,12.3,264,1527,5.8,12,,jermar-jefferson-1
10,Alex Barnes,Kansas State,Big 12,12,256,1355,5.3,12,112.9,20,194,9.7,0,16.2,276,1549,5.6,12,,alex-barnes-1
11,Devin Singletary,Florida Atlantic,CUSA,12,261,1348,5.2,22,112.3,6,36,6.0,0,3.0,267,1384,5.2,22,,devin-singletary-1
12,Michael Warren II*,Cincinnati,American,12,244,1329,5.4,19,110.8,25,232,9.3,1,19.3,269,1561,5.8,20,,michael-warren-ii-1
13,Nico Evans,Wyoming,MWC,10,203,1325,6.5,8,132.5,7,66,9.4,1,6.6,210,1391,6.6,9,,nico-evans-1
14,A.J. Ouellette*,Ohio,MAC,13,213,1306,6.1,12,100.5,21,212,10.1,2,16.3,234,1518,6.5,14,,aj-ouellette-1
15,Miles Sanders*,Penn State,Big Ten,13,220,1274,5.8,9,98.0,24,139,5.8,0,10.7,244,1413,5.8,9,,miles-sanders-1
16,Myles Gaskin*,Washington,Pac-12,12,259,1268,4.9,12,105.7,21,77,3.7,1,6.4,280,1345,4.8,13,,myles-gaskin-1
17,Ke'Shawn Vaughn*,Vanderbilt,SEC,12,157,1244,7.9,12,103.7,13,170,13.1,2,14.2,170,1414,8.3,14,,keshawn-vaughn-1
18,Ben LeMay,Charlotte,CUSA,12,232,1243,5.4,11,103.6,21,282,13.4,0,23.5,253,1525,6.0,11,,ben-lemay-1
19,Joshua Kelley,UCLA,Pac-12,11,225,1243,5.5,12,113.0,27,193,7.1,0,17.5,252,1436,5.7,12,,joshua-kelley-1
20,LeVante Bellamy*,Western Michigan,MAC,13,205,1228,6.0,6,94.5,30,185,6.2,1,14.2,235,1413,6.0,7,,levante-bellamy-1
