Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Lew Nichols*,Central Michigan,MAC,13,341,1848,5.4,16,142.2,40,338,8.5,2,26.0,381,2186,5.7,18,,lew-nichols-1
2,Kenneth Walker III*,Michigan State,Big Ten,12,263,1636,6.2,18,136.3,13,89,6.8,1,7.4,276,1725,6.3,19,1,kenneth-walker-iii-1
3,Abram Smith*,Baylor,Big 12,14,257,1621,6.3,12,115.8,13,75,5.8,0,5.4,270,1696,6.3,12,,abram-smith-1
4,Tyler Allgeier*,BYU,Ind,13,276,1606,5.8,23,123.5,28,199,7.1,0,15.3,304,1805,5.9,23,,tyler-allgeier-1
5,Tyler Badie*,Missouri,SEC,12,268,1604,6.0,14,133.7,54,330,6.1,4,27.5,322,1934,6.0,18,,tyler-badie-1
6,Sean Tucker,Syracuse,ACC,12,246,1496,6.1,12,124.7,20,255,12.8,2,21.3,266,1751,6.6,14,,sean-tucker-2
7,Sincere McCormick*,UTSA,CUSA,14,298,1479,5.0,15,105.6,22,184,8.4,0,13.1,320,1663,5.2,15,,sincere-mccormick-1
8,Breece Hall*,Iowa State,Big 12,12,253,1464,5.8,20,122.0,36,302,8.4,3,25.2,289,1766,6.1,23,,breece-hall-1
9,Deuce Vaughn*,Kansas State,Big 12,13,235,1404,6.0,18,108.0,49,468,9.6,4,36.0,284,1872,6.6,22,,deuce-vaughn-1
10,Rasheen Ali*,Marshall,CUSA,13,250,1401,5.6,23,107.8,46,342,7.4,1,26.3,296,1743,5.9,24,,rasheen-ali-1
11,Bryant Koback*,Toledo,MAC,13,208,1400,6.7,15,107.7,30,334,11.1,3,25.7,238,1734,7.3,18,,bryant-koback-1
12,Christopher Rodriguez Jr.*,Kentucky,SEC,13,225,1379,6.1,9,106.1,13,61,4.7,3,4.7,238,1440,6.1,12,,christopher-rodriguez-jr-1
13,DeWayne McBride*,UAB,CUSA,13,204,1371,6.7,13,105.5,3,19,6.3,0,1.5,207,1390,6.7,13,,dewayne-mcbride-1
14,Brad Roberts*,Air Force,MWC,13,299,1356,4.5,13,104.3,0,0,,0,0.0,299,1356,4.5,13,,brad-roberts-1
15,Brian Robinson Jr.*,Alabama,SEC,14,271,1343,5.0,14,95.9,35,296,8.5,2,21.1,306,1639,5.4,16,,brian-robinson-jr-1
16,B.J. Baylor*,Oregon State,Pac-12,13,227,1337,5.9,13,102.8,8,75,9.4,0,5.8,235,1412,6.0,13,,bj-baylor-1
17,Hassan Haskins*,Michigan,Big Ten,14,270,1327,4.9,20,94.8,18,131,7.3,0,9.4,288,1458,5.1,20,,hassan-haskins-1
18,Jerome Ford*,Cincinnati,American,13,214,1319,6.2,19,101.5,21,220,10.5,1,16.9,235,1539,6.5,20,,jerome-ford-1
19,Travis Dye*,Oregon,Pac-12,14,211,1271,6.0,16,90.8,46,402,8.7,2,28.7,257,1673,6.5,18,,travis-dye-1
20,Braelon Allen*,Wisconsin,Big Ten,12,186,1268,6.8,12,105.7,8,39,4.9,0,3.3,194,1307,6.7,12,,braelon-allen-1
