Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Donald Brown*,Connecticut,Big East,13,367,2083,5.7,18,160.2,21,125,6.0,0,9.6,388,2208,5.7,18,,donald-brown-1
2,Shonn Greene*,Iowa,Big Ten,13,307,1850,6.0,20,142.3,8,49,6.1,0,3.8,315,1899,6.0,20,1,shonn-greene-1
3,Miquale Lewis*,Ball State,MAC,14,322,1736,5.4,22,124.0,35,325,9.3,0,23.2,357,2061,5.8,22,,miquale-lewis-1
4,Javon Ringer*,Michigan State,Big Ten,13,390,1637,4.2,22,125.9,28,190,6.8,0,14.6,418,1827,4.4,22,,javon-ringer-1
5,Jahvid Best*,California,Pac-10,12,194,1580,8.1,15,131.7,27,246,9.1,1,20.5,221,1826,8.3,16,,jahvid-best-1
6,Kendall Hunter*,Oklahoma State,Big 12,13,241,1555,6.5,16,119.6,22,198,9.0,1,15.2,263,1753,6.7,17,,kendall-hunter-1
7,Tarrion Adams*,Tulsa,CUSA,14,247,1523,6.2,14,108.8,23,213,9.3,1,15.2,270,1736,6.4,15,,tarrion-adams-1
8,Vai Taua*,Nevada,WAC,13,236,1521,6.4,15,117.0,30,243,8.1,3,18.7,266,1764,6.6,18,,vai-taua-1
9,LeSean McCoy*,Pitt,Big East,13,308,1488,4.8,21,114.5,32,305,9.5,0,23.5,340,1793,5.3,21,,lesean-mccoy-1
10,Gartrell Johnson III*,Colorado State,MWC,13,278,1476,5.3,12,113.5,32,295,9.2,0,22.7,310,1771,5.7,12,,gartrell-johnson-iii-1
11,Knowshon Moreno*,Georgia,SEC,13,250,1400,5.6,16,107.7,33,392,11.9,2,30.2,283,1792,6.3,18,,knowshon-moreno-1
12,Jonathan Dwyer*,Georgia Tech,ACC,13,200,1395,7.0,12,107.3,8,209,26.1,1,16.1,208,1604,7.7,13,,jonathan-dwyer-1
13,Glen Coffee*,Alabama,SEC,14,233,1383,5.9,10,98.8,16,118,7.4,1,8.4,249,1501,6.0,11,,glen-coffee-1
14,Tyrell Fenroy,Louisiana,Sun Belt,12,226,1375,6.1,19,114.6,24,259,10.8,0,21.6,250,1634,6.5,19,,tyrell-fenroy-1
15,Julian Edelman,Kent State,MAC,12,215,1370,6.4,13,114.2,1,11,11.0,0,0.9,216,1381,6.4,13,,julian-edelman-1
16,Collin Mooney,Army,Ind,12,231,1339,5.8,8,111.6,9,59,6.6,0,4.9,240,1398,5.8,8,,collin-mooney-1
17,James Starks*,Buffalo,MAC,12,272,1333,4.9,16,111.1,52,361,6.9,1,30.1,324,1694,5.2,17,,james-starks-1
18,Dennis Kennedy,Akron,MAC,12,239,1321,5.5,17,110.1,31,314,10.1,1,26.2,270,1635,6.1,18,,dennis-kennedy-1
19,Damion Fletcher*,Southern Mississippi,CUSA,12,219,1313,6.0,10,109.4,33,246,7.5,1,20.5,252,1559,6.2,11,,damion-fletcher-1
20,Devin Moore,Wyoming,MWC,12,249,1301,5.2,7,108.4,14,40,2.9,0,3.3,263,1341,5.1,7,,devin-moore-1
