Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
Troy Davis,Iowa State,Big 8,11,345,2010,5.8,15,182.7,14,159,11.4,1,14.5,359,2169,6.0,16,troy-davis
Charles Talley,Northern Illinois,Big West,11,285,1540,5.4,7,140.0,3,-7,-2.3,0,-0.6,288,1533,5.3,7,charles-talley
Byron Hanspard,Texas Tech,SWC,11,248,1374,5.5,11,124.9,35,474,13.5,7,43.1,283,1848,6.5,18,byron-hanspard
