Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Rashaad Penny*,San Diego State,MWC,13,289,2248,7.8,23,172.9,19,135,7.1,2,10.4,308,2383,7.7,25,,rashaad-penny-1
2,Bryce Love*,Stanford,Pac-12,13,263,2118,8.1,19,162.9,6,33,5.5,0,2.5,269,2151,8.0,19,1,bryce-love-1
3,Jonathan Taylor*,Wisconsin,Big Ten,14,299,1977,6.6,13,141.2,8,95,11.9,0,6.8,307,2072,6.7,13,,jonathan-taylor-1
4,Devin Singletary*,Florida Atlantic,CUSA,14,301,1920,6.4,32,137.1,19,198,10.4,1,14.1,320,2118,6.6,33,,devin-singletary-1
5,Ahmad Bradshaw*,Army,Ind,13,242,1746,7.2,14,134.3,0,0,,0,0.0,242,1746,7.2,14,,ahmad-bradshaw-2
6,Lamar Jackson*,Louisville,ACC,13,232,1601,6.9,18,123.2,0,0,,0,0.0,232,1601,6.9,18,,lamar-jackson-1
7,AJ Dillon*,Boston College,ACC,13,300,1589,5.3,14,122.2,0,0,,0,0.0,300,1589,5.3,14,,aj-dillon-1
8,Ronald Jones*,USC,Pac-12,13,261,1550,5.9,19,119.2,14,187,13.4,1,14.4,275,1737,6.3,20,,ronald-jones-4
9,D'Angelo Brewer,Tulsa,American,11,288,1517,5.3,9,137.9,9,88,9.8,0,8.0,297,1605,5.4,9,,dangelo-brewer-1
10,Diocemy Saint Juste,Hawaii,MWC,12,282,1510,5.4,7,125.8,28,157,5.6,1,13.1,310,1667,5.4,8,,diocemy-saint-juste-1
11,Royce Freeman*,Oregon,Pac-12,12,244,1475,6.0,16,122.9,14,164,11.7,0,13.7,258,1639,6.4,16,,royce-freeman-1
12,Phillip Lindsay,Colorado,Pac-12,12,301,1474,4.9,14,122.8,23,257,11.2,1,21.4,324,1731,5.3,15,,phillip-lindsay-1
13,Justice Hill*,Oklahoma State,Big 12,13,268,1467,5.5,15,112.8,31,190,6.1,1,14.6,299,1657,5.5,16,,justice-hill-1
14,Josh Adams*,Notre Dame,Ind,13,206,1430,6.9,9,110.0,13,101,7.8,0,7.8,219,1531,7.0,9,,josh-adams-2
15,Ito Smith*,Southern Mississippi,CUSA,13,248,1413,5.7,13,108.7,40,396,9.9,2,30.5,288,1809,6.3,15,,ito-smith-1
16,Zach Abey*,Navy,American,12,293,1413,4.8,19,117.8,1,5,5.0,1,0.4,294,1418,4.8,20,,zach-abey-1
17,Khalil Tate*,Arizona,Pac-12,11,153,1411,9.2,12,128.3,0,0,,0,0.0,153,1411,9.2,12,,khalil-tate-1
18,J.K. Dobbins*,Ohio State,Big Ten,14,194,1403,7.2,7,100.2,22,135,6.1,1,9.6,216,1538,7.1,8,,jk-dobbins-1
19,Dalyn Dawkins*,Colorado State,MWC,13,226,1399,6.2,8,107.6,26,310,11.9,1,23.8,252,1709,6.8,9,,dalyn-dawkins-1
20,Kerryon Johnson*,Auburn,SEC,12,285,1391,4.9,18,115.9,24,194,8.1,2,16.2,309,1585,5.1,20,,kerryon-johnson-1
