Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,J.J. Arrington*,California,Pac-10,12,289,2018,7.0,15,168.2,21,121,5.8,0,10.1,310,2139,6.9,15,,jj-arrington-1
2,DeAngelo Williams*,Memphis,CUSA,12,313,1948,6.2,22,162.3,18,210,11.7,1,17.5,331,2158,6.5,23,,deangelo-williams-1
3,Adrian Peterson*,Oklahoma,Big 12,13,339,1925,5.7,15,148.1,5,12,2.4,0,0.9,344,1937,5.6,15,1,adrian-peterson-1
4,Cedric Benson*,Texas,Big 12,12,326,1834,5.6,19,152.8,22,179,8.1,1,14.9,348,2013,5.8,20,,cedric-benson-1
5,Jamario Thomas*,North Texas,Sun Belt,10,285,1801,6.3,17,180.1,3,14,4.7,0,1.4,288,1815,6.3,17,,jamario-thomas-1
6,Ryan Moats,Louisiana Tech,WAC,12,288,1774,6.2,18,147.8,15,116,7.7,1,9.7,303,1890,6.2,19,,ryan-moats-1
7,Garrett Wolfe*,Northern Illinois,MAC,11,256,1656,6.5,18,150.5,10,117,11.7,3,10.6,266,1773,6.7,21,,garrett-wolfe-1
8,Vernand Morency*,Oklahoma State,Big 12,11,258,1474,5.7,12,134.0,5,101,20.2,1,9.2,263,1575,6.0,13,,vernand-morency-1
9,Michael Hart*,Michigan,Big Ten,12,282,1455,5.2,9,121.3,26,237,9.1,1,19.8,308,1692,5.5,10,,michael-hart-1
10,Noah Herron,Northwestern,Big Ten,12,274,1381,5.0,14,115.1,36,351,9.8,1,29.3,310,1732,5.6,15,,noah-herron-1
11,Andre Hall,South Florida,CUSA,11,210,1357,6.5,11,123.4,18,149,8.3,1,13.5,228,1506,6.6,12,,andre-hall-1
12,Laurence Maroney*,Minnesota,Big Ten,12,217,1348,6.2,12,112.3,3,16,5.3,0,1.3,220,1364,6.2,12,,laurence-maroney-1
13,Darren Sproles,Kansas State,Big 12,11,244,1318,5.4,11,119.8,32,223,7.0,0,20.3,276,1541,5.6,11,,darren-sproles-1
14,Dewhitt Betterson*,Troy,Sun Belt,12,256,1286,5.0,9,107.2,5,5,1.0,0,0.4,261,1291,4.9,9,,dewhitt-betterson-1
15,Jerry Seymour,Central Michigan,MAC,11,262,1284,4.9,5,116.7,47,413,8.8,0,37.5,309,1697,5.5,5,,jerry-seymour-1
16,Carlton Jones,Army,CUSA,11,209,1269,6.1,17,115.4,26,237,9.1,0,21.5,235,1506,6.4,17,,carlton-jones-2
17,Marion Barber III*,Minnesota,Big Ten,12,231,1269,5.5,11,105.8,3,27,9.0,0,2.3,234,1296,5.5,11,,marion-barber-iii-1
18,Ciatrick Fason*,Florida,SEC,12,222,1267,5.7,10,105.6,35,266,7.6,2,22.2,257,1533,6.0,12,,ciatrick-fason-1
19,Dominique Dorsey,Nevada-Las Vegas,MWC,11,226,1261,5.6,6,114.6,11,55,5.0,0,5.0,237,1316,5.6,6,,dominique-dorsey-1
20,Cornell Brockington*,Connecticut,Big East,12,238,1218,5.1,11,101.5,34,231,6.8,1,19.3,272,1449,5.3,12,,cornell-brockington-1
