Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
Troy Davis,Iowa State,Big 8,11,345,2010,5.8,15,182.7,14,159,11.4,1,14.5,359,2169,6.0,16,troy-davis
Wasean Tait,Toledo,MAC,11,357,1905,5.3,20,173.2,19,183,9.6,0,16.6,376,2088,5.6,20,wasean-tait
George Jones,San Diego State,WAC,12,305,1842,6.0,23,153.5,18,119,6.6,0,9.9,323,1961,6.1,23,george-jones
