Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
LaDainian Tomlinson,Texas Christian,WAC,11,369,2158,5.8,22,196.2,10,40,4.0,0,3.6,379,2198,5.8,22,ladainian-tomlinson
Damien Anderson,Northwestern,Big Ten,11,293,1914,6.5,22,174.0,15,120,8.0,0,10.9,308,2034,6.6,22,damien-anderson
Michael Bennett,Wisconsin,Big Ten,10,294,1598,5.4,10,159.8,4,23,5.8,0,2.3,298,1621,5.4,10,michael-bennett
