Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,DeAngelo Williams*,Memphis,CUSA,11,310,1964,6.3,18,178.5,12,78,6.5,1,7.1,322,2042,6.3,19,,deangelo-williams-1
2,Jerome Harrison,Washington State,Pac-10,11,308,1900,6.2,16,172.7,24,206,8.6,1,18.7,332,2106,6.3,17,,jerome-harrison-1
3,Reggie Bush*,USC,Pac-10,13,200,1740,8.7,16,133.8,37,478,12.9,2,36.8,237,2218,9.4,18,1,reggie-bush-1
4,Brian Calhoun*,Wisconsin,Big Ten,13,348,1636,4.7,22,125.8,53,571,10.8,2,43.9,401,2207,5.5,24,,brian-calhoun-1
5,Garrett Wolfe,Northern Illinois,MAC,9,242,1580,6.5,16,175.6,20,222,11.1,1,24.7,262,1802,6.9,17,,garrett-wolfe-1
6,Tyrell Sutton*,Northwestern,Big Ten,12,250,1474,5.9,16,122.8,44,396,9.0,2,33.0,294,1870,6.4,18,,tyrell-sutton-1
7,Laurence Maroney*,Minnesota,Big Ten,11,281,1464,5.2,10,133.1,17,170,10.0,1,15.5,298,1634,5.5,11,,laurence-maroney-1
8,B.J. Mitchell*,Nevada,WAC,12,261,1399,5.4,12,116.6,4,26,6.5,1,2.2,265,1425,5.4,13,,bj-mitchell-1
9,Andre Hall*,South Florida,Big East,12,270,1374,5.1,13,114.5,26,321,12.3,2,26.8,296,1695,5.7,15,,andre-hall-1
10,Albert Young*,Iowa,Big Ten,12,249,1334,5.4,8,111.2,24,244,10.2,0,20.3,273,1578,5.8,8,,albert-young-1
11,Antonio Pittman*,Ohio State,Big Ten,12,243,1331,5.5,7,110.9,17,161,9.5,0,13.4,260,1492,5.7,7,,antonio-pittman-1
12,Yvenson Bernard,Oregon State,Pac-10,11,299,1321,4.4,13,120.1,37,316,8.5,1,28.7,336,1637,4.9,14,,yvenson-bernard-1
13,Wendell Mathis*,Fresno State,WAC,13,248,1313,5.3,15,101.0,19,156,8.2,1,12.0,267,1469,5.5,16,,wendell-mathis-1
14,Lendale White*,USC,Pac-10,13,197,1302,6.6,24,100.2,14,219,15.6,2,16.8,211,1521,7.2,26,,lendale-white-1
15,Brad Smith*,Missouri,Big 12,12,229,1301,5.7,16,108.4,1,3,3.0,0,0.3,230,1304,5.7,16,,brad-smith-1
16,Dontrell Moore,New Mexico,MWC,11,275,1298,4.7,14,118.0,31,371,12.0,3,33.7,306,1669,5.5,17,,dontrell-moore-1
17,Trinity Dawson*,Toledo,MAC,12,232,1294,5.6,5,107.8,22,241,11.0,4,20.1,254,1535,6.0,9,,trinity-dawson-1
18,Kenny Irons*,Auburn,SEC,12,256,1293,5.1,13,107.8,14,164,11.7,0,13.7,270,1457,5.4,13,,kenny-irons-1
19,Kyle Bell*,Colorado State,MWC,12,276,1288,4.7,10,107.3,9,33,3.7,0,2.8,285,1321,4.6,10,,kyle-bell-1
20,Marshawn Lynch*,California,Pac-10,10,196,1246,6.4,10,124.6,15,125,8.3,0,12.5,211,1371,6.5,10,,marshawn-lynch-1
