Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,LaDainian Tomlinson,Texas Christian,WAC,11,268,1850,6.9,18,168.2,12,55,4.6,0,5.0,280,1905,6.8,18,,ladainian-tomlinson-1
2,Ron Dayne,Wisconsin,Big Ten,11,303,1834,6.1,19,166.7,1,9,9.0,0,0.8,304,1843,6.1,19,1,ron-dayne-1
3,Thomas Jones,Virginia,ACC,11,334,1798,5.4,16,163.5,22,239,10.9,1,21.7,356,2037,5.7,17,,thomas-jones-1
4,Travis Prentice,Miami (OH),MAC,11,354,1659,4.7,17,150.8,19,270,14.2,4,24.5,373,1929,5.2,21,,travis-prentice-1
5,Lamont Jordan,Maryland,ACC,11,266,1632,6.1,16,148.4,19,208,10.9,1,18.9,285,1840,6.5,17,,lamont-jordan-1
6,Trung Canidate,Arizona,Pac-10,12,253,1602,6.3,11,133.5,30,253,8.4,1,21.1,283,1855,6.6,12,,trung-canidate-1
7,Demario Brown,Utah State,Big West,11,279,1536,5.5,14,139.6,26,282,10.8,1,25.6,305,1818,6.0,15,,demario-brown-1
8,Darren Davis,Iowa State,Big 12,11,287,1388,4.8,14,126.2,21,160,7.6,2,14.5,308,1548,5.0,16,,darren-davis-2
9,Shaun Alexander,Alabama,SEC,11,302,1383,4.6,19,125.7,25,323,12.9,4,29.4,327,1706,5.2,23,,shaun-alexander-1
10,Thomas Hamner,Minnesota,Big Ten,11,288,1362,4.7,10,123.8,19,298,15.7,3,27.1,307,1660,5.4,13,,thomas-hamner-1
11,Hodges Mitchell,Texas,Big 12,13,256,1343,5.2,9,103.3,32,343,10.7,1,26.4,288,1686,5.9,10,,hodges-mitchell-1
12,Ken Simonton,Oregon State,Pac-10,11,276,1329,4.8,17,120.8,18,194,10.8,0,17.6,294,1523,5.2,17,,ken-simonton-1
13,Frank Moreau,Louisville,CUSA,10,233,1289,5.5,17,128.9,38,285,7.5,0,28.5,271,1574,5.8,17,,frank-moreau-1
14,Paul Smith,UTEP,WAC,12,272,1258,4.6,12,104.8,7,84,12.0,1,7.0,279,1342,4.8,13,,paul-smith-6
15,Anthony Thomas,Michigan,Big Ten,11,283,1257,4.4,16,114.3,29,166,5.7,0,15.1,312,1423,4.6,16,,anthony-thomas-2
16,Robert Cooper,Cincinnati,CUSA,10,228,1245,5.5,7,124.5,22,180,8.2,2,18.0,250,1425,5.7,9,,robert-cooper-1
17,Ketric Sanford,Houston,CUSA,11,224,1199,5.4,12,109.0,16,113,7.1,0,10.3,240,1312,5.5,12,,ketric-sanford-1
18,Chester Taylor,Toledo,MAC,11,182,1176,6.5,12,106.9,8,47,5.9,0,4.3,190,1223,6.4,12,,chester-taylor-1
19,Chris Lemon,Nevada,Big West,11,238,1170,4.9,12,106.4,20,184,9.2,1,16.7,258,1354,5.2,13,,chris-lemon-1
20,Kevin McDougal,Colorado State,MWC,10,207,1164,5.6,8,116.4,8,58,7.3,0,5.8,215,1222,5.7,8,,kevin-mcdougal-2
