Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Breece Hall*,Iowa State,Big 12,12,279,1572,5.6,21,131.0,23,180,7.8,2,15.0,302,1752,5.8,23,,breece-hall-1
2,Sincere McCormick*,UTSA,CUSA,11,249,1467,5.9,11,133.4,20,131,6.6,0,11.9,269,1598,5.9,11,,sincere-mccormick-1
3,Najee Harris*,Alabama,SEC,13,251,1466,5.8,26,112.8,43,425,9.9,4,32.7,294,1891,6.4,30,1,najee-harris-1
4,Michael Carter*,North Carolina,ACC,11,156,1245,8.0,9,113.2,25,267,10.7,2,24.3,181,1512,8.4,11,,michael-carter-5
5,Khalil Herbert,Virginia Tech,ACC,11,154,1182,7.7,8,107.5,10,179,17.9,1,16.3,164,1361,8.3,9,,khalil-herbert-1
6,Javonte Williams*,North Carolina,ACC,11,157,1140,7.3,19,103.6,25,305,12.2,3,27.7,182,1445,7.9,22,,javonte-williams-1
7,Kevin Harris,South Carolina,SEC,10,185,1138,6.2,15,113.8,21,159,7.6,1,15.9,206,1297,6.3,16,,kevin-harris-5
8,Tyler Allgeier*,BYU,Ind,11,150,1130,7.5,13,102.7,14,174,12.4,0,15.8,164,1304,8.0,13,,tyler-allgeier-1
9,Kyren Williams*,Notre Dame,ACC,12,211,1125,5.3,13,93.8,35,313,8.9,1,26.1,246,1438,5.8,14,,kyren-williams-1
10,Camerun Peoples*,Appalachian State,Sun Belt,12,168,1124,6.7,12,93.7,3,15,5.0,0,1.3,171,1139,6.7,12,,camerun-peoples-1
11,Mohamed Ibrahim,Minnesota,Big Ten,7,201,1076,5.4,15,153.7,8,56,7.0,0,8.0,209,1132,5.4,15,,mohamed-ibrahim-1
12,Jaret Patterson*,Buffalo,MAC,6,141,1072,7.6,19,178.7,0,0,,0,0.0,141,1072,7.6,19,,jaret-patterson-1
13,Isaiah Spiller*,Texas A&M,SEC,10,188,1036,5.5,9,103.6,20,193,9.7,0,19.3,208,1229,5.9,9,,isaiah-spiller-1
14,Leddie Brown*,West Virginia,Big 12,10,199,1010,5.1,9,101.0,31,202,6.5,2,20.2,230,1212,5.3,11,,leddie-brown-1
15,Larry Rountree III,Missouri,SEC,10,209,972,4.7,14,97.2,15,100,6.7,0,10.0,224,1072,4.8,14,,larry-rountree-iii-1
16,Malik Willis*,Liberty,Ind,10,141,944,6.7,14,94.4,0,0,,0,0.0,141,944,6.7,14,,malik-willis-1
17,Travis Etienne*,Clemson,ACC,12,168,914,5.4,14,76.2,48,588,12.3,2,49.0,216,1502,7.0,16,,travis-etienne-1
18,Ulysses Bentley IV,SMU,American,10,170,913,5.4,11,91.3,21,174,8.3,1,17.4,191,1087,5.7,12,,ulysses-bentley-iv-1
19,Jarek Broussard*,Colorado,Pac-12,6,156,895,5.7,5,149.2,9,65,7.2,0,10.8,165,960,5.8,5,,jarek-broussard-1
20,Spencer Brown,UAB,CUSA,8,186,889,4.8,10,111.1,5,35,7.0,0,4.4,191,924,4.8,10,,spencer-brown-3
21,Brenden Knox*,Marshall,CUSA,10,185,887,4.8,9,88.7,7,86,12.3,1,8.6,192,973,5.1,10,,brenden-knox-1
