Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,LaDainian Tomlinson,Texas Christian,WAC,11,369,2158,5.8,22,196.2,10,40,4.0,0,3.6,379,2198,5.8,22,1,ladainian-tomlinson-1
2,Damien Anderson,Northwestern,Big Ten,11,293,1914,6.5,22,174.0,15,120,8.0,0,10.9,308,2034,6.6,22,,damien-anderson-1
3,Michael Bennett,Wisconsin,Big Ten,10,294,1598,5.4,10,159.8,4,23,5.8,0,2.3,298,1621,5.4,10,,michael-bennett-1
4,Deonce Whitaker,San Jose State,WAC,10,224,1577,7.0,15,157.7,3,37,12.3,1,3.7,227,1614,7.1,16,,deonce-whitaker-1
5,Robert Sanford,Western Michigan,MAC,12,293,1571,5.4,18,130.9,6,52,8.7,0,4.3,299,1623,5.4,18,,robert-sanford-1
6,Rudi Johnson,Auburn,SEC,12,324,1567,4.8,13,130.6,9,70,7.8,0,5.8,333,1637,4.9,13,,rudi-johnson-1
7,Anthony Thomas,Michigan,Big Ten,11,287,1551,5.4,16,141.0,13,239,18.4,1,21.7,300,1790,6.0,17,,anthony-thomas-2
8,Ken Simonton,Oregon State,Pac-10,11,266,1474,5.5,18,134.0,4,14,3.5,0,1.3,270,1488,5.5,18,,ken-simonton-1
9,Chester Taylor,Toledo,MAC,11,250,1470,5.9,18,133.6,17,129,7.6,1,11.7,267,1599,6.0,19,,chester-taylor-1
10,T.J. Duckett,Michigan State,Big Ten,11,240,1353,5.6,7,123.0,8,39,4.9,0,3.5,248,1392,5.6,7,,tj-duckett-1
11,Emmett White,Utah State,Big West,11,242,1322,5.5,13,120.2,47,592,12.6,2,53.8,289,1914,6.6,15,,emmett-white-1
12,Travis Henry,Tennessee,SEC,11,253,1314,5.2,11,119.5,13,65,5.0,0,5.9,266,1379,5.2,11,,travis-henry-1
13,Dwone Hicks,Middle Tennessee State,Ind,11,186,1277,6.9,19,116.1,19,181,9.5,2,16.5,205,1458,7.1,21,,dwone-hicks-1
14,Antwaan Randle El,Indiana,Big Ten,11,218,1270,5.8,13,115.5,0,0,,0,0.0,218,1270,5.8,13,,antwaan-randle-el-1
15,Ennis Haywood,Iowa State,Big 12,10,229,1237,5.4,8,123.7,25,211,8.4,0,21.1,254,1448,5.7,8,,ennis-haywood-1
16,Lee Suggs,Virginia Tech,Big East,11,222,1207,5.4,27,109.7,3,44,14.7,1,4.0,225,1251,5.6,28,,lee-suggs-1
17,Willie Alderson,Idaho,Big West,11,238,1195,5.0,12,108.6,45,420,9.3,3,38.2,283,1615,5.7,15,,willie-alderson-1
18,William Green,Boston College,Big East,11,187,1164,6.2,14,105.8,6,78,13.0,1,7.1,193,1242,6.4,15,,william-green-1
19,Sultan McCullough,USC,Pac-10,12,227,1163,5.1,6,96.9,9,25,2.8,0,2.1,236,1188,5.0,6,,sultan-mccullough-1
20,Michael Wallace,Army,CUSA,10,192,1157,6.0,11,115.7,24,187,7.8,1,18.7,216,1344,6.2,12,,michael-wallace-1
