Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Troy Davis,Iowa State,Big 8,11,345,2010,5.8,15,182.7,14,159,11.4,1,14.5,359,2169,6.0,16,,troy-davis-4
2,Wasean Tait,Toledo,MAC,11,357,1905,5.3,20,173.2,19,183,9.6,0,16.6,376,2088,5.6,20,,wasean-tait-1
3,George Jones,San Diego State,WAC,12,305,1842,6.0,23,153.5,18,119,6.6,0,9.9,323,1961,6.1,23,,george-jones-2
4,Eddie George,Ohio State,Big Ten,12,303,1826,6.0,23,152.2,44,399,9.1,1,33.3,347,2225,6.4,24,1,eddie-george-1
5,Tshimanga Biakabutuka,Michigan,Big Ten,12,279,1724,6.2,12,143.7,4,48,12.0,0,4.0,283,1772,6.3,12,,tshimanga-biakabutuka-1
6,Darnell Autry,Northwestern,Big Ten,11,355,1675,4.7,14,152.3,21,130,6.2,1,11.8,376,1805,4.8,15,,darnell-autry-1
7,Deland McCullough,Miami (OH),MAC,11,321,1627,5.1,14,147.9,19,97,5.1,0,8.8,340,1724,5.1,14,,deland-mccullough-1
8,Moe Williams,Kentucky,SEC,11,294,1600,5.4,17,145.5,19,153,8.1,0,13.9,313,1753,5.6,17,,moe-williams-1
9,Charles Talley,Northern Illinois,Big West,11,285,1540,5.4,7,140.0,3,-7,-2.3,0,-0.6,288,1533,5.3,7,,charles-talley-1
10,David Thompson,Oklahoma State,Big 8,12,256,1509,5.9,8,125.8,5,36,7.2,1,3.0,261,1545,5.9,9,,david-thompson-3
11,Abu Wilson,Utah State,Big West,11,275,1476,5.4,15,134.2,38,375,9.9,0,34.1,313,1851,5.9,15,,abu-wilson-1
12,Jay Graham,Tennessee,SEC,11,272,1438,5.3,12,130.7,20,160,8.0,1,14.5,292,1598,5.5,13,,jay-graham-1
13,Mike Alstott,Purdue,Big Ten,11,243,1436,5.9,11,130.5,25,162,6.5,0,14.7,268,1598,6.0,11,,mike-alstott-1
14,Karim Abdul-Jabbar,UCLA,Pac-10,11,270,1419,5.3,11,129.0,16,154,9.6,1,14.0,286,1573,5.5,12,,karim-abdul-jabbar-1
15,Tiki Barber,Virginia,ACC,12,265,1397,5.3,14,116.4,22,216,9.8,2,18.0,287,1613,5.6,16,,tiki-barber-1
16,Madre Hill,Arkansas,SEC,12,307,1387,4.5,15,115.6,23,196,8.5,1,16.3,330,1583,4.8,16,,madre-hill-1
17,Byron Hanspard,Texas Tech,SWC,11,248,1374,5.5,11,124.9,35,474,13.5,7,43.1,283,1848,6.5,18,,byron-hanspard-1
18,Toraino Singleton,UTEP,WAC,12,268,1358,5.1,8,113.2,17,160,9.4,0,13.3,285,1518,5.3,8,,toraino-singleton-1
19,Sedrick Shaw,Iowa,Big Ten,11,295,1342,4.5,14,122.0,15,138,9.2,0,12.5,310,1480,4.8,14,,sedrick-shaw-1
20,Joe Abdullah,Pacific,Big West,11,263,1334,5.1,11,121.3,34,460,13.5,3,41.8,297,1794,6.0,14,,joe-abdullah-1
