Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Montee Ball*,Wisconsin,Big Ten,14,307,1923,6.3,33,137.4,24,306,12.8,6,21.9,331,2229,6.7,39,,montee-ball-1
2,LaMichael James*,Oregon,Pac-12,12,247,1805,7.3,18,150.4,17,210,12.4,1,17.5,264,2015,7.6,19,,lamichael-james-1
3,Ronnie Hillman*,San Diego State,MWC,13,311,1711,5.5,19,131.6,24,270,11.3,1,20.8,335,1981,5.9,20,,ronnie-hillman-1
4,David Wilson*,Virginia Tech,ACC,14,290,1709,5.9,9,122.1,22,129,5.9,1,9.2,312,1838,5.9,10,,david-wilson-1
5,Bobby Rainey,Western Kentucky,Sun Belt,12,369,1695,4.6,13,141.3,36,361,10.0,4,30.1,405,2056,5.1,17,,bobby-rainey-1
6,Trent Richardson*,Alabama,SEC,13,283,1679,5.9,21,129.2,29,338,11.7,3,26.0,312,2017,6.5,24,1,trent-richardson-1
7,Robbie Rouse,Fresno State,WAC,13,329,1549,4.7,13,119.2,32,228,7.1,1,17.5,361,1777,4.9,14,,robbie-rouse-1
8,Terrance Ganaway*,Baylor,Big 12,13,250,1547,6.2,21,119.0,6,52,8.7,1,4.0,256,1599,6.2,22,,terrance-ganaway-1
9,John White*,Utah,Pac-12,13,316,1519,4.8,15,116.8,13,44,3.4,2,3.4,329,1563,4.8,17,,john-white-9
10,Robert Turbin*,Utah State,WAC,13,249,1517,6.1,19,116.7,17,171,10.1,4,13.2,266,1688,6.3,23,,robert-turbin-1
11,Chris Polk*,Washington,Pac-12,13,293,1488,5.1,12,114.5,31,332,10.7,4,25.5,324,1820,5.6,16,,chris-polk-1
12,Bernard Pierce*,Temple,MAC,12,273,1481,5.4,27,123.4,3,52,17.3,0,4.3,276,1533,5.6,27,,bernard-pierce-1
13,Branden Oliver,Buffalo,MAC,12,306,1395,4.6,13,116.3,38,365,9.6,0,30.4,344,1760,5.1,13,,branden-oliver-1
14,Marcus Coker*,Iowa,Big Ten,12,281,1384,4.9,15,115.3,21,157,7.5,0,13.1,302,1541,5.1,15,,marcus-coker-1
15,Chandler Harnish*,Northern Illinois,MAC,14,194,1379,7.1,11,98.5,0,0,,0,0.0,194,1379,7.1,11,,chandler-harnish-1
16,Rex Burkhead*,Nebraska,Big Ten,13,284,1357,4.8,15,104.4,21,177,8.4,2,13.6,305,1534,5.0,17,,rex-burkhead-1
17,Stepfan Taylor*,Stanford,Pac-12,13,242,1330,5.5,10,102.3,25,182,7.3,2,14.0,267,1512,5.7,12,,stepfan-taylor-1
18,Isi Sofele*,California,Pac-12,13,252,1322,5.2,10,101.7,6,33,5.5,0,2.5,258,1355,5.3,10,,isi-sofele-1
19,Doug Martin*,Boise State,MWC,13,263,1299,4.9,16,99.9,28,255,9.1,2,19.6,291,1554,5.3,18,,doug-martin-1
20,Lamar Miller,Miami (FL),ACC,12,227,1272,5.6,9,106.0,17,85,5.0,1,7.1,244,1357,5.6,10,,lamar-miller-1
