Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
Derrick Henry*,Alabama,SEC,15,395,2219,5.6,28,147.9,11,91,8.3,0,6.1,406,2310,5.7,28,derrick-henry*
Christian McCaffrey*,Stanford,Pac-12,14,337,2019,6.0,8,144.2,45,645,14.3,5,46.1,382,2664,7.0,13,christian-mccaffrey*
Leonard Fournette*,LSU,SEC,12,300,1953,6.5,22,162.8,19,253,13.3,1,21.1,319,2206,6.9,23,leonard-fournette*
