Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Ka'Deem Carey*,Arizona,Pac-12,13,303,1929,6.4,23,148.4,36,303,8.4,1,23.3,339,2232,6.6,24,,kadeem-carey-1
2,Stefphon Jefferson*,Nevada,MWC,13,375,1883,5.0,24,144.8,22,170,7.7,1,13.1,397,2053,5.2,25,,stefphon-jefferson-1
3,Montee Ball*,Wisconsin,Big Ten,14,356,1830,5.1,22,130.7,10,72,7.2,0,5.1,366,1902,5.2,22,,montee-ball-1
4,Jordan Lynch*,Northern Illinois,MAC,14,294,1815,6.2,19,129.6,0,0,,0,0.0,294,1815,6.2,19,1,jordan-lynch-1
5,Le'Veon Bell*,Michigan State,Big Ten,13,382,1793,4.7,12,137.9,32,167,5.2,1,12.8,414,1960,4.7,13,,leveon-bell-1
6,Kenjon Barner*,Oregon,Pac-12,13,278,1767,6.4,21,135.9,20,256,12.8,2,19.7,298,2023,6.8,23,,kenjon-barner-1
7,Johnathan Franklin*,UCLA,Pac-12,14,282,1734,6.1,13,123.9,33,323,9.8,2,23.1,315,2057,6.5,15,,johnathan-franklin-1
8,Antonio Andrews*,Western Kentucky,Sun Belt,13,304,1728,5.7,11,132.9,37,432,11.7,3,33.2,341,2160,6.3,14,,antonio-andrews-1
9,Beau Blankenship*,Ohio,MAC,13,312,1604,5.1,15,123.4,21,182,8.7,1,14.0,333,1786,5.4,16,,beau-blankenship-1
10,Stepfan Taylor*,Stanford,Pac-12,14,322,1530,4.8,13,109.3,41,287,7.0,2,20.5,363,1817,5.0,15,,stepfan-taylor-1
11,Kerwynn Williams*,Utah State,WAC,13,218,1512,6.9,15,116.3,45,697,15.5,5,53.6,263,2209,8.4,20,,kerwynn-williams-1
12,David Fluellen*,Toledo,MAC,12,259,1498,5.8,13,124.8,32,246,7.7,0,20.5,291,1744,6.0,13,,david-fluellen-1
13,Zurlon Tipton*,Central Michigan,MAC,13,252,1497,5.9,19,115.2,24,287,12.0,1,22.1,276,1784,6.5,20,,zurlon-tipton-1
14,Robbie Rouse*,Fresno State,MWC,13,282,1490,5.3,12,114.6,63,435,6.9,2,33.5,345,1925,5.6,14,,robbie-rouse-1
15,Kasey Carrier,New Mexico,MWC,12,255,1469,5.8,15,122.4,10,75,7.5,0,6.3,265,1544,5.8,15,,kasey-carrier-1
16,Adam Muema*,San Diego State,MWC,13,237,1458,6.2,16,112.2,9,147,16.3,1,11.3,246,1605,6.5,17,,adam-muema-1
17,Bishop Sankey*,Washington,Pac-12,13,289,1439,5.0,16,110.7,33,249,7.5,0,19.2,322,1688,5.2,16,,bishop-sankey-1
18,Dri Archer*,Kent State,MAC,14,159,1429,9.0,16,102.1,39,561,14.4,4,40.1,198,1990,10.1,20,,dri-archer-1
19,Joseph Randle*,Oklahoma State,Big 12,13,274,1417,5.2,14,109.0,28,224,8.0,0,17.2,302,1641,5.4,14,,joseph-randle-1
20,Jahwan Edwards*,Ball State,MAC,13,232,1410,6.1,14,108.5,10,51,5.1,0,3.9,242,1461,6.0,14,,jahwan-edwards-1
