Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
Jarek Broussard*,Colorado,Pac-12,6,156,895,5.7,5,149.2,9,65,7.2,0,10.8,165,960,5.8,5,jarek-broussard*
Spencer Brown,UAB,CUSA,8,186,889,4.8,10,111.1,5,35,7.0,0,4.4,191,924,4.8,10,spencer-brown
Brenden Knox*,Marshall,CUSA,10,185,887,4.8,9,88.7,7,86,12.3,1,8.6,192,973,5.1,10,brenden-knox*
