Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Troy Davis,Iowa State,Big 12,11,402,2185,5.4,21,198.6,13,64,4.9,0,5.8,415,2249,5.4,21,1,troy-davis-4
2,Byron Hanspard,Texas Tech,Big 12,11,311,2000,6.4,13,181.8,17,192,11.3,1,17.5,328,2192,6.7,14,,byron-hanspard-1
3,Ron Dayne,Wisconsin,Big Ten,12,295,1863,6.3,18,155.3,14,133,9.5,0,11.1,309,1996,6.5,18,,ron-dayne-1
4,Scott Harley,East Carolina,Ind,11,307,1745,5.7,14,158.6,25,199,8.0,0,18.1,332,1944,5.9,14,,scott-harley-1
5,Corey Dillon,Washington,Pac-10,11,271,1555,5.7,22,141.4,15,273,18.2,1,24.8,286,1828,6.4,23,,corey-dillon-1
6,Silas Massey,Central Michigan,MAC,10,312,1544,4.9,16,154.4,15,103,6.9,0,10.3,327,1647,5.0,16,,silas-massey-1
7,David Thompson,Oklahoma State,Big 12,11,293,1524,5.2,13,138.5,20,225,11.3,0,20.5,313,1749,5.6,13,,david-thompson-3
8,Beau Morgan,Air Force,WAC,11,225,1494,6.6,18,135.8,0,0,,0,0.0,225,1494,6.6,18,,beau-morgan-1
9,Darnell Autry,Northwestern,Big Ten,10,263,1386,5.3,15,138.6,23,165,7.2,1,16.5,286,1551,5.4,16,,darnell-autry-1
10,Pepe Pearson,Ohio State,Big Ten,11,286,1373,4.8,17,124.8,18,214,11.9,0,19.5,304,1587,5.2,17,,pepe-pearson-1
11,Tiki Barber,Virginia,ACC,11,250,1360,5.4,14,123.6,22,258,11.7,0,23.5,272,1618,5.9,14,,tiki-barber-1
12,June Henley,Kansas,Big 12,10,302,1349,4.5,17,134.9,22,215,9.8,1,21.5,324,1564,4.8,18,,june-henley-1
13,Kevin Faulk,LSU,SEC,11,248,1282,5.2,13,116.5,10,134,13.4,0,12.2,258,1416,5.5,13,,kevin-faulk-1
14,Robert Holcombe,Illinois,Big Ten,11,260,1281,4.9,12,116.5,23,241,10.5,1,21.9,283,1522,5.4,13,,robert-holcombe-1
15,Calvin Branch,Colorado State,WAC,12,228,1279,5.6,21,106.6,14,128,9.1,0,10.7,242,1407,5.8,21,,calvin-branch-1
16,Ricky Williams,Texas,Big 12,12,205,1272,6.2,12,106.0,25,291,11.6,2,24.3,230,1563,6.8,14,,ricky-williams-4
17,Alex Smith,Indiana,Big Ten,10,292,1248,4.3,8,124.8,9,76,8.4,0,7.6,301,1324,4.4,8,,alex-smith-5
18,Antowain Smith,Houston,CUSA,11,202,1239,6.1,14,112.6,28,201,7.2,1,18.3,230,1440,6.3,15,,antowain-smith-1
19,Chris McCoy,Navy,Ind,11,268,1228,4.6,16,111.6,1,54,54.0,1,4.9,269,1282,4.8,17,,chris-mccoy-3
20,Curtis Enis,Penn State,Big Ten,12,224,1210,5.4,13,100.8,32,291,9.1,1,24.3,256,1501,5.9,14,,curtis-enis-1
