Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
DeAngelo Williams*,Memphis,CUSA,11,310,1964,6.3,18,178.5,12,78,6.5,1,7.1,322,2042,6.3,19,deangelo-williams*
Jerome Harrison,Washington State,Pac-10,11,308,1900,6.2,16,172.7,24,206,8.6,1,18.7,332,2106,6.3,17,jerome-harrison
Reggie Bush*,USC,Pac-10,13,200,1740,8.7,16,133.8,37,478,12.9,2,36.8,237,2218,9.4,18,reggie-bush*
