Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Ricky Williams,Texas,Big 12,11,361,2124,5.9,27,193.1,24,262,10.9,1,23.8,385,2386,6.2,28,1,ricky-williams-4
2,Travis Prentice,Miami (OH),MAC,11,365,1787,4.9,19,162.5,11,107,9.7,1,9.7,376,1894,5.0,20,,travis-prentice-1
3,Mike Cloud,Boston College,Big East,11,308,1726,5.6,14,156.9,24,198,8.3,0,18.0,332,1924,5.8,14,,mike-cloud-1
4,Ricky Williams,Texas Tech,Big 12,11,306,1582,5.2,13,143.8,18,176,9.8,0,16.0,324,1758,5.4,13,,ricky-williams-2
5,Devin West,Missouri,Big 12,11,283,1578,5.6,17,143.5,8,43,5.4,1,3.9,291,1621,5.6,18,,devin-west-1
6,Denvis Manns,New Mexico State,Big West,11,269,1469,5.5,6,133.5,9,106,11.8,0,9.6,278,1575,5.7,6,,denvis-manns-1
7,Amos Zereoue,West Virginia,Big East,10,261,1430,5.5,13,143.0,21,175,8.3,0,17.5,282,1605,5.7,13,,amos-zereoue-1
8,Edgerrin James,Miami (FL),Big East,11,242,1416,5.9,17,128.7,17,255,15.0,2,23.2,259,1671,6.5,19,,edgerrin-james-1
9,James Johnson,Mississippi State,SEC,12,236,1383,5.9,12,115.3,7,98,14.0,0,8.2,243,1481,6.1,12,,james-johnson-8
10,Steve Hookfin,Ohio,MAC,11,273,1315,4.8,11,119.5,0,0,,0,0.0,273,1315,4.8,11,,steve-hookfin-1
11,Ronney Jenkins,BYU,WAC,13,252,1307,5.2,13,100.5,34,349,10.3,2,26.8,286,1656,5.8,15,,ronney-jenkins-1
12,Thomas Jones,Virginia,ACC,11,238,1303,5.5,13,118.5,28,179,6.4,2,16.3,266,1482,5.6,15,,thomas-jones-1
13,Eric Flowers,Central Michigan,MAC,11,292,1302,4.5,16,118.4,4,24,6.0,0,2.2,296,1326,4.5,16,,eric-flowers-1
14,Kevin Faulk,LSU,SEC,11,229,1279,5.6,12,116.3,22,287,13.0,3,26.1,251,1566,6.2,15,,kevin-faulk-1
15,Ron Dayne,Wisconsin,Big Ten,10,268,1279,4.8,11,127.9,6,45,7.5,0,4.5,274,1324,4.8,11,,ron-dayne-1
16,Joel Thomas,Idaho,Big West,11,231,1229,5.3,16,111.7,18,180,10.0,0,16.4,249,1409,5.7,16,,joel-thomas-1
17,Trung Canidate,Arizona,Pac-10,11,167,1220,7.3,10,110.9,9,191,21.2,0,17.4,176,1411,8.0,10,,trung-canidate-1
18,Doug Chapman,Marshall,MAC,12,252,1184,4.7,15,98.7,24,210,8.8,3,17.5,276,1394,5.1,18,,doug-chapman-1
19,Derrick Nix,Southern Mississippi,CUSA,11,226,1180,5.2,9,107.3,10,103,10.3,1,9.4,236,1283,5.4,10,,derrick-nix-1
20,Shaun Alexander,Alabama,SEC,11,258,1178,4.6,13,107.1,26,385,14.8,4,35.0,284,1563,5.5,17,,shaun-alexander-1
