Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Kevin Smith*,UCF,CUSA,14,450,2567,5.7,29,183.4,24,242,10.1,1,17.3,474,2809,5.9,30,,kevin-smith-1
2,Matt Forte,Tulane,CUSA,12,361,2127,5.9,23,177.3,32,282,8.8,0,23.5,393,2409,6.1,23,,matt-forte-1
3,Ray Rice*,Rutgers,Big East,13,380,2012,5.3,24,154.8,25,239,9.6,1,18.4,405,2251,5.6,25,,ray-rice-1
4,Darren McFadden*,Arkansas,SEC,13,325,1830,5.6,16,140.8,21,164,7.8,1,12.6,346,1994,5.8,17,1,darren-mcfadden-1
5,Jonathan Stewart*,Oregon,Pac-10,13,280,1722,6.2,11,132.5,22,145,6.6,2,11.2,302,1867,6.2,13,,jonathan-stewart-1
6,Rashard Mendenhall*,Illinois,Big Ten,13,262,1681,6.4,17,129.3,34,318,9.4,2,24.5,296,1999,6.8,19,,rashard-mendenhall-1
7,Eugene Jarvis,Kent State,MAC,12,279,1669,6.0,10,139.1,23,306,13.3,3,25.5,302,1975,6.5,13,,eugene-jarvis-1
8,Jamaal Charles*,Texas,Big 12,13,258,1619,6.3,18,124.5,17,199,11.7,0,15.3,275,1818,6.6,18,,jamaal-charles-1
9,Chris Wells*,Ohio State,Big Ten,13,274,1609,5.9,15,123.8,5,21,4.2,0,1.6,279,1630,5.8,15,,chris-wells-1
10,Anthony Alridge*,Houston,CUSA,13,259,1597,6.2,14,122.8,42,428,10.2,5,32.9,301,2025,6.7,19,,anthony-alridge-1
11,Damion Fletcher*,Southern Mississippi,CUSA,13,295,1586,5.4,15,122.0,29,227,7.8,0,17.5,324,1813,5.6,15,,damion-fletcher-1
12,Justin Forsett*,California,Pac-10,13,305,1546,5.1,15,118.9,22,202,9.2,0,15.5,327,1748,5.3,15,,justin-forsett-1
13,Jalen Parmele,Toledo,MAC,12,276,1511,5.5,14,125.9,17,157,9.2,1,13.1,293,1668,5.7,15,,jalen-parmele-1
14,Chad Hall*,Air Force,MWC,13,230,1478,6.4,15,113.7,50,524,10.5,1,40.3,280,2002,7.2,16,,chad-hall-1
15,Javon Ringer*,Michigan State,Big Ten,13,245,1447,5.9,6,111.3,35,295,8.4,0,22.7,280,1742,6.2,6,,javon-ringer-1
16,Kalvin McRae,Ohio,MAC,12,294,1434,4.9,19,119.5,29,275,9.5,1,22.9,323,1709,5.3,20,,kalvin-mcrae-1
17,Chris Johnson*,East Carolina,CUSA,13,236,1423,6.0,17,109.5,37,528,14.3,6,40.6,273,1951,7.1,23,,chris-johnson-1
18,Luke Lippincott*,Nevada,WAC,13,267,1420,5.3,15,109.2,26,295,11.3,3,22.7,293,1715,5.9,18,,luke-lippincott-1
19,Calvin Dawson,Louisiana-Monroe,Sun Belt,12,281,1414,5.0,12,117.8,29,262,9.0,0,21.8,310,1676,5.4,12,,calvin-dawson-1
20,Tashard Choice*,Georgia Tech,ACC,12,261,1379,5.3,10,114.9,14,107,7.6,0,8.9,275,1486,5.4,10,,tashard-choice-1
