Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
LaMichael James*,Oregon,Pac-10,12,294,1731,5.9,21,144.3,17,208,12.2,3,17.3,311,1939,6.2,24,lamichael-james*
Denard Robinson*,Michigan,Big Ten,13,256,1702,6.6,14,130.9,0,0,,0,0.0,256,1702,6.6,14,denard-robinson*
Mikel Leshoure*,Illinois,Big Ten,13,281,1697,6.0,17,130.5,17,196,11.5,3,15.1,298,1893,6.4,20,mikel-leshoure*
