Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Chuba Hubbard*,Oklahoma State,Big 12,13,328,2094,6.4,21,161.1,23,198,8.6,0,15.2,351,2292,6.5,21,,chuba-hubbard-1
2,Malcolm Perry*,Navy,American,13,295,2017,6.8,21,155.2,0,0,,0,0.0,295,2017,6.8,21,,malcolm-perry-1
3,J.K. Dobbins*,Ohio State,Big Ten,14,301,2003,6.7,21,143.1,23,247,10.7,2,17.6,324,2250,6.9,23,,jk-dobbins-1
4,Jonathan Taylor*,Wisconsin,Big Ten,14,320,2003,6.3,21,143.1,26,252,9.7,5,18.0,346,2255,6.5,26,1,jonathan-taylor-1
5,Jaret Patterson*,Buffalo,MAC,13,312,1799,5.8,19,138.4,13,209,16.1,1,16.1,325,2008,6.2,20,,jaret-patterson-1
6,AJ Dillon*,Boston College,ACC,13,318,1685,5.3,14,129.6,13,195,15.0,1,15.0,331,1880,5.7,15,,aj-dillon-1
7,Travis Etienne*,Clemson,ACC,15,207,1614,7.8,19,107.6,37,432,11.7,4,28.8,244,2046,8.4,23,,travis-etienne-1
8,Javian Hawkins*,Louisville,ACC,13,264,1525,5.8,9,117.3,4,58,14.5,0,4.5,268,1583,5.9,9,,javian-hawkins-1
9,Darrynton Evans*,Appalachian State,Sun Belt,14,255,1480,5.8,18,105.7,21,198,9.4,5,14.1,276,1678,6.1,23,,darrynton-evans-1
10,LeVante Bellamy*,Western Michigan,MAC,13,266,1472,5.5,23,113.2,15,55,3.7,0,4.2,281,1527,5.4,23,,levante-bellamy-1
11,Lynn Bowden Jr.*,Kentucky,SEC,13,185,1468,7.9,13,112.9,30,348,11.6,1,26.8,215,1816,8.4,14,,lynn-bowden-jr-1
12,Kenny Gainwell*,Memphis,American,14,231,1459,6.3,13,104.2,51,610,12.0,3,43.6,282,2069,7.3,16,,kenny-gainwell-1
13,Tra Barnett*,Georgia State,Sun Belt,13,248,1453,5.9,12,111.8,16,69,4.3,0,5.3,264,1522,5.8,12,,tra-barnett-1
14,Zack Moss*,Utah,Pac-12,13,235,1416,6.0,15,108.9,28,388,13.9,2,29.8,263,1804,6.9,17,,zack-moss-1
15,Clyde Edwards-Helaire*,LSU,SEC,15,215,1414,6.6,16,94.3,55,453,8.2,1,30.2,270,1867,6.9,17,,clyde-edwards-helaire-1
16,Brenden Knox*,Marshall,CUSA,13,270,1387,5.1,11,106.7,14,129,9.2,0,9.9,284,1516,5.3,11,,brenden-knox-1
17,Kylin Hill*,Mississippi State,SEC,13,242,1350,5.6,10,103.8,18,180,10.0,1,13.8,260,1530,5.9,11,,kylin-hill-1
18,Jalen Hurts*,Oklahoma,Big 12,14,233,1298,5.6,20,92.7,2,25,12.5,1,1.8,235,1323,5.6,21,,jalen-hurts-1
19,Josh Johnson,Louisiana-Monroe,Sun Belt,12,201,1298,6.5,11,108.2,13,122,9.4,0,10.2,214,1420,6.6,11,,josh-johnson-8
20,Xavier Jones*,SMU,American,13,244,1276,5.2,23,98.2,20,90,4.5,2,6.9,264,1366,5.2,25,,xavier-jones-2
