Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Donnel Pumphrey*,San Diego State,MWC,14,349,2133,6.1,17,152.4,27,231,8.6,0,16.5,376,2364,6.3,17,,donnel-pumphrey-1
2,D'Onta Foreman,Texas,Big 12,11,323,2028,6.3,15,184.4,7,75,10.7,0,6.8,330,2103,6.4,15,1,donta-foreman-1
3,Brian Hill*,Wyoming,MWC,14,349,1860,5.3,22,132.9,8,67,8.4,0,4.8,357,1927,5.4,22,,brian-hill-4
4,Aaron Jones,UTEP,CUSA,12,229,1773,7.7,17,147.8,28,233,8.3,3,19.4,257,2006,7.8,20,,aaron-jones-6
5,Dalvin Cook*,Florida State,ACC,13,288,1765,6.1,19,135.8,33,488,14.8,1,37.5,321,2253,7.0,20,,dalvin-cook-1
6,Jeremy McNichols*,Boise State,MWC,13,314,1709,5.4,23,131.5,37,474,12.8,4,36.5,351,2183,6.2,27,,jeremy-mcnichols-1
7,James Flanders*,Tulsa,American,13,258,1629,6.3,18,125.3,3,17,5.7,0,1.3,261,1646,6.3,18,,james-flanders-1
8,Anthony Wales*,Western Kentucky,CUSA,13,237,1621,6.8,27,124.7,30,323,10.8,2,24.8,267,1944,7.3,29,,anthony-wales-1
9,Christian McCaffrey*,Stanford,Pac-12,11,253,1603,6.3,13,145.7,37,310,8.4,3,28.2,290,1913,6.6,16,,christian-mccaffrey-1
10,Lamar Jackson*,Louisville,ACC,13,260,1571,6.0,21,120.8,0,0,,0,0.0,260,1571,6.0,21,,lamar-jackson-1
11,I'Tavius Mathers*,Middle Tennessee State,CUSA,13,232,1561,6.7,17,120.1,66,633,9.6,3,48.7,298,2194,7.4,20,,itavius-mathers-1
12,Quinton Flowers*,South Florida,American,13,198,1530,7.7,18,117.7,1,-3,-3.0,0,-0.2,199,1527,7.7,18,,quinton-flowers-1
13,Justin Jackson*,Northwestern,Big Ten,13,298,1524,5.1,15,117.2,35,219,6.3,0,16.8,333,1743,5.2,15,,justin-jackson-5
14,Saquon Barkley*,Penn State,Big Ten,14,272,1496,5.5,18,106.9,28,402,14.4,4,28.7,300,1898,6.3,22,,saquon-barkley-1
15,Kareem Hunt*,Toledo,MAC,13,262,1475,5.6,10,113.5,41,403,9.8,1,31.0,303,1878,6.2,11,,kareem-hunt-1
16,Ito Smith*,Southern Mississippi,CUSA,13,265,1459,5.5,17,112.2,43,459,10.7,2,35.3,308,1918,6.2,19,,ito-smith-1
17,D'Angelo Brewer*,Tulsa,American,12,264,1435,5.4,7,119.6,5,19,3.8,1,1.6,269,1454,5.4,8,,dangelo-brewer-1
18,Joe Williams*,Utah,Pac-12,9,210,1407,6.7,10,156.3,9,107,11.9,0,11.9,219,1514,6.9,10,,joe-williams-7
19,Jalin Moore*,Appalachian State,Sun Belt,13,237,1402,5.9,10,107.8,5,32,6.4,0,2.5,242,1434,5.9,10,,jalin-moore-1
20,Derrius Guice*,LSU,SEC,12,183,1387,7.6,15,115.6,9,106,11.8,1,8.8,192,1493,7.8,16,,derrius-guice-1
