Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Garrett Wolfe*,Northern Illinois,MAC,13,309,1928,6.2,18,148.3,28,249,8.9,1,19.2,337,2177,6.5,19,,garrett-wolfe-1
2,Ray Rice*,Rutgers,Big East,13,335,1794,5.4,20,138.0,4,30,7.5,0,2.3,339,1824,5.4,20,,ray-rice-1
3,Steve Slaton*,West Virginia,Big East,13,248,1744,7.0,16,134.2,27,360,13.3,2,27.7,275,2104,7.7,18,,steve-slaton-1
4,Ian Johnson*,Boise State,WAC,12,277,1713,6.2,25,142.8,8,55,6.9,0,4.6,285,1768,6.2,25,,ian-johnson-1
5,Darren McFadden*,Arkansas,SEC,14,284,1647,5.8,14,117.6,11,149,13.5,1,10.6,295,1796,6.1,15,1,darren-mcfadden-1
6,P.J. Hill*,Wisconsin,Big Ten,13,311,1569,5.0,15,120.7,18,197,10.9,1,15.2,329,1766,5.4,16,,pj-hill-1
7,Michael Hart*,Michigan,Big Ten,13,318,1562,4.9,14,120.2,17,125,7.4,0,9.6,335,1687,5.0,14,,michael-hart-1
8,Ahmad Bradshaw,Marshall,CUSA,12,249,1523,6.1,19,126.9,17,129,7.6,2,10.8,266,1652,6.2,21,,ahmad-bradshaw-1
9,Tashard Choice*,Georgia Tech,ACC,14,297,1473,5.0,12,105.2,12,98,8.2,0,7.0,309,1571,5.1,12,,tashard-choice-1
10,Dwayne Wright,Fresno State,WAC,12,261,1462,5.6,11,121.8,29,221,7.6,1,18.4,290,1683,5.8,12,,dwayne-wright-1
11,Jon Cornish,Kansas,Big 12,12,250,1457,5.8,8,121.4,24,194,8.1,1,16.2,274,1651,6.0,9,,jon-cornish-1
12,Damion Fletcher*,Southern Mississippi,CUSA,13,276,1388,5.0,11,106.8,18,142,7.9,0,10.9,294,1530,5.2,11,,damion-fletcher-1
13,Tony Hunt*,Penn State,Big Ten,13,277,1386,5.0,11,106.6,27,259,9.6,3,19.9,304,1645,5.4,14,,tony-hunt-1
14,Marshawn Lynch*,California,Pac-10,13,223,1356,6.1,11,104.3,34,328,9.6,4,25.2,257,1684,6.6,15,,marshawn-lynch-1
15,Yvenson Bernard*,Oregon State,Pac-10,13,296,1307,4.4,12,100.5,43,276,6.4,1,21.2,339,1583,4.7,13,,yvenson-bernard-1
16,Amir Pinnix*,Minnesota,Big Ten,13,252,1272,5.0,10,97.8,16,138,8.6,0,10.6,268,1410,5.3,10,,amir-pinnix-1
17,Darius Walker*,Notre Dame,Ind,13,255,1267,5.0,7,97.5,56,391,7.0,1,30.1,311,1658,5.3,8,,darius-walker-1
18,Kalvin McRae*,Ohio,MAC,14,258,1252,4.9,15,89.4,29,280,9.7,1,20.0,287,1532,5.3,16,,kalvin-mcrae-1
19,Rodney Ferguson*,New Mexico,MWC,13,252,1234,4.9,7,94.9,28,291,10.4,2,22.4,280,1525,5.4,9,,rodney-ferguson-1
20,Antonio Pittman*,Ohio State,Big Ten,13,242,1233,5.1,14,94.8,14,127,9.1,0,9.8,256,1360,5.3,14,,antonio-pittman-1
