Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,LeShon Johnson,Northern Illinois,Big West,11,327,1976,6.0,12,179.6,16,106,6.6,0,9.6,343,2082,6.1,12,0,leshon-johnson-1
2,Bam Morris,Texas Tech,SWC,11,298,1752,5.9,22,159.3,22,150,6.8,0,13.6,320,1902,5.9,22,0,bam-morris-1
3,Marshall Faulk,San Diego State,WAC,12,300,1530,5.1,21,127.5,47,644,13.7,3,53.7,347,2174,6.3,24,1,marshall-faulk-1
4,Brent Moss,Wisconsin,Big Ten,11,276,1479,5.4,14,134.5,4,19,4.8,0,1.7,280,1498,5.4,14,0,brent-moss-1
5,Ron Rivers,Fresno State,WAC,11,216,1440,6.7,14,130.9,14,118,8.4,0,10.7,230,1558,6.8,14,0,ron-rivers-1
6,Junior Smith,East Carolina,Ind,11,278,1352,4.9,9,122.9,12,101,8.4,0,9.2,290,1453,5.0,9,0,junior-smith-1
7,Napoleon Kaufman,Washington,Pac-10,11,226,1299,5.7,14,118.1,23,139,6.0,0,12.6,249,1438,5.8,14,0,napoleon-kaufman-1
8,Errict Rhett,Florida,SEC,12,247,1289,5.2,11,107.4,36,271,7.5,0,22.6,283,1560,5.5,11,0,errict-rhett-1
9,Terrell Willis,Rutgers,Big East,11,195,1261,6.5,13,114.6,9,61,6.8,0,5.5,204,1322,6.5,13,0,terrell-willis-2
10,James Bostic,Auburn,SEC,11,199,1205,6.1,12,109.5,10,40,4.0,1,3.6,209,1245,6.0,13,0,james-bostic-1
11,Robert Walker,West Virginia,Big East,11,201,1191,5.9,11,108.3,8,20,2.5,0,1.8,209,1211,5.8,11,0,robert-walker-3
12,David Small,Cincinnati,Ind,11,223,1179,5.3,17,107.2,14,86,6.1,0,7.8,237,1265,5.3,17,0,david-small-1
13,Charlie Garner,Tennessee,SEC,11,159,1161,7.3,8,105.5,12,81,6.8,0,7.4,171,1242,7.3,8,0,charlie-garner-1
14,Dwayne Thomas,Virginia Tech,Big East,11,214,1130,5.3,11,102.7,17,115,6.8,1,10.5,231,1245,5.4,12,0,dwayne-thomas-1
15,June Henley,Kansas,Big 8,12,233,1127,4.8,12,93.9,8,53,6.6,0,4.4,241,1180,4.9,12,0,june-henley-1
16,Mario Bates,Arizona State,Pac-10,11,246,1111,4.5,8,101.0,7,31,4.4,0,2.8,253,1142,4.5,8,0,mario-bates-1
17,Raymont Harris,Ohio State,Big Ten,11,234,1109,4.7,9,100.8,6,55,9.2,0,5.0,240,1164,4.9,9,0,raymont-harris-1
18,John Leach,Wake Forest,ACC,11,215,1089,5.1,10,99.0,41,340,8.3,1,30.9,256,1429,5.6,11,0,john-leach-1
19,Curtis Martin,Pitt,Big East,10,210,1075,5.1,7,107.5,33,249,7.5,1,24.9,243,1324,5.4,8,0,curtis-martin-2
20,Darnell Campbell,Boston College,Big East,11,221,1071,4.8,19,97.4,15,185,12.3,2,16.8,236,1256,5.3,21,0,darnell-campbell-1
