Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Melvin Gordon*,Wisconsin,Big Ten,14,343,2587,7.5,29,184.8,19,153,8.1,3,10.9,362,2740,7.6,32,1,melvin-gordon-1
2,Tevin Coleman,Indiana,Big Ten,12,270,2036,7.5,15,169.7,25,141,5.6,0,11.8,295,2177,7.4,15,,tevin-coleman-1
3,Ezekiel Elliott*,Ohio State,Big Ten,15,273,1878,6.9,18,125.2,28,220,7.9,0,14.7,301,2098,7.0,18,,ezekiel-elliott-1
4,Donnel Pumphrey*,San Diego State,MWC,13,276,1867,6.8,20,143.6,23,160,7.0,0,12.3,299,2027,6.8,20,,donnel-pumphrey-1
5,Jay Ajayi*,Boise State,MWC,14,347,1823,5.3,28,130.2,50,535,10.7,4,38.2,397,2358,5.9,32,,jay-ajayi-1
6,Devon Johnson*,Marshall,CUSA,13,206,1767,8.6,17,135.9,6,121,20.2,2,9.3,212,1888,8.9,19,,devon-johnson-1
7,James Conner*,Pitt,ACC,13,298,1765,5.9,26,135.8,5,70,14.0,0,5.4,303,1835,6.1,26,,james-conner-1
8,Samaje Perine*,Oklahoma,Big 12,13,263,1713,6.5,21,131.8,15,108,7.2,0,8.3,278,1821,6.6,21,,samaje-perine-1
9,Duke Johnson*,Miami (FL),ACC,13,242,1652,6.8,10,127.1,38,421,11.1,3,32.4,280,2073,7.4,13,,duke-johnson-1
10,Kareem Hunt*,Toledo,MAC,10,205,1631,8.0,16,163.1,9,39,4.3,0,3.9,214,1670,7.8,16,,kareem-hunt-1
11,David Cobb*,Minnesota,Big Ten,13,314,1626,5.2,13,125.1,16,162,10.1,0,12.5,330,1788,5.4,13,,david-cobb-1
12,Ameer Abdullah*,Nebraska,Big Ten,13,264,1611,6.1,19,123.9,22,269,12.2,3,20.7,286,1880,6.6,22,,ameer-abdullah-1
13,Cameron Artis-Payne*,Auburn,SEC,13,303,1608,5.3,13,123.7,13,147,11.3,0,11.3,316,1755,5.6,13,,cameron-artis-payne-1
14,Jordan Howard,UAB,CUSA,12,306,1587,5.2,13,132.3,9,72,8.0,1,6.0,315,1659,5.3,14,,jordan-howard-1
15,Paul Perkins*,UCLA,Pac-12,13,251,1575,6.3,9,121.2,26,201,7.7,2,15.5,277,1776,6.4,11,,paul-perkins-1
16,Jarvion Franklin*,Western Michigan,MAC,13,306,1551,5.1,24,119.3,15,168,11.2,1,12.9,321,1719,5.4,25,,jarvion-franklin-1
17,Nick Chubb*,Georgia,SEC,13,219,1547,7.1,14,119.0,18,213,11.8,2,16.4,237,1760,7.4,16,,nick-chubb-1
18,Leon Allen*,Western Kentucky,CUSA,13,272,1542,5.7,13,118.6,51,476,9.3,3,36.6,323,2018,6.2,16,,leon-allen-1
19,Jeremy Langford*,Michigan State,Big Ten,13,276,1522,5.5,22,117.1,11,62,5.6,0,4.8,287,1584,5.5,22,,jeremy-langford-1
20,Devontae Booker*,Utah,Pac-12,13,292,1512,5.2,10,116.3,43,306,7.1,2,23.5,335,1818,5.4,12,,devontae-booker-1
