Rk,Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds,Y/R,TD,Y/G,Plays,Yds,Avg,TD,Awards,-9999
1,Darren Sproles*,Kansas State,Big 12,15,306,1986,6.5,16,132.4,25,287,11.5,2,19.1,331,2273,6.9,18,,darren-sproles-1
2,Derrick Knight*,Boston College,Big East,13,321,1721,5.4,11,132.4,26,227,8.7,0,17.5,347,1948,5.6,11,,derrick-knight-1
3,Patrick Cobbs*,North Texas,Sun Belt,11,307,1680,5.5,19,152.7,4,43,10.8,1,3.9,311,1723,5.5,20,,patrick-cobbs-1
4,Chris Perry*,Michigan,Big Ten,13,338,1674,5.0,18,128.8,44,367,8.3,2,28.2,382,2041,5.3,20,1,chris-perry-1
5,Michael Turner,Northern Illinois,MAC,12,310,1648,5.3,14,137.3,19,230,12.1,3,19.2,329,1878,5.7,17,,michael-turner-2
6,Kevin Jones*,Virginia Tech,Big East,13,281,1647,5.9,21,126.7,14,161,11.5,0,12.4,295,1808,6.1,21,,kevin-jones-3
7,Steven Jackson*,Oregon State,Pac-10,13,350,1545,4.4,19,118.8,44,470,10.7,3,36.2,394,2015,5.1,22,,steven-jackson-3
8,Anthony Sherrell,Eastern Michigan,MAC,12,338,1531,4.5,12,127.6,44,304,6.9,1,25.3,382,1835,4.8,13,,anthony-sherrell-1
9,Dontrell Moore*,New Mexico,MWC,13,276,1450,5.3,19,111.5,11,149,13.5,2,11.5,287,1599,5.6,21,,dontrell-moore-1
10,P.J. Daniels*,Georgia Tech,ACC,13,283,1447,5.1,10,111.3,19,88,4.6,1,6.8,302,1535,5.1,11,,pj-daniels-1
11,DeAngelo Williams*,Memphis,CUSA,11,243,1430,5.9,10,130.0,35,384,11.0,3,34.9,278,1814,6.5,13,,deangelo-williams-1
12,Brad Smith*,Missouri,Big 12,13,212,1406,6.6,18,108.2,3,53,17.7,1,4.1,215,1459,6.8,19,,brad-smith-1
13,Jason Wright*,Northwestern,Big Ten,13,267,1388,5.2,20,106.8,18,251,13.9,1,19.3,285,1639,5.8,21,,jason-wright-1
14,Quincy Wilson*,West Virginia,Big East,12,282,1380,4.9,12,115.0,15,95,6.3,1,7.9,297,1475,5.0,13,,quincy-wilson-1
15,Shaud Williams,Alabama,SEC,13,280,1367,4.9,14,105.2,24,161,6.7,1,12.4,304,1528,5.0,15,,shaud-williams-1
16,Cedric Benson*,Texas,Big 12,12,258,1360,5.3,21,113.3,9,120,13.3,1,10.0,267,1480,5.5,22,,cedric-benson-1
17,Fred Russell*,Iowa,Big Ten,13,282,1355,4.8,7,104.2,6,6,1.0,0,0.5,288,1361,4.7,7,,fred-russell-1
18,Walter Reyes,Syracuse,Big East,12,253,1347,5.3,20,112.3,38,375,9.9,1,31.3,291,1722,5.9,21,,walter-reyes-1
19,Cedric Cobbs*,Arkansas,SEC,12,227,1320,5.8,10,110.0,8,34,4.3,0,2.8,235,1354,5.8,10,,cedric-cobbs-1
20,Cadillac Williams*,Auburn,SEC,13,241,1307,5.4,17,100.5,5,20,4.0,0,1.5,246,1327,5.4,17,,carnell-williams-1
