Player,Team,Conf,G,Att,Yds,Y/A,TD,Y/G,Rec,Yds.1,Y/R,TD.1,Y/G.1,Plays,Yds.2,Avg,TD.2,-9999
LaDainian Tomlinson,Texas Christian,WAC,11,369,2158,5.8,22,196.2,10,40,4.0,0,3.6,379,2198,5.8,22,ladainian-tomlinson
Sultan McCullough,USC,Pac-10,12,227,1163,5.1,6,96.9,9,25,2.8,0,2.1,236,1188,5.0,6,sultan-mccullough
Michael Wallace,Army,CUSA,10,192,1157,6.0,11,115.7,24,187,7.8,1,18.7,216,1344,6.2,12,michael-wallace
